GEOID,INTPTLAT,INTPTLON,rpe_1d_1y
2302957090,44.9549298,-67.0430846,2134.1831520799997
2301186970,44.309991,-69.9630934,2113.3225192709824
2301775595,44.123107,-70.8054894,2192.9086398400013
2301780635,44.2028376,-70.7222725,2141.8249833751843
2300781300,44.6874683,-70.4492865,2001.3599233988948
2300785850,44.627562,-70.2488445,2084.5081002583474
2300787680,45.1357962,-70.3509161,1781.9691838027215
2301709550,44.7025963,-70.6475845,1869.7030756980107
2301755960,44.0906202,-70.5494194,2190.6634289990347
2301775035,44.3859089,-70.4495962,2111.5649900484614
2300775980,44.696586,-70.267203,2053.47065276129
2300714205,45.0938415,-70.4702654,1745.6143438621032
2302327295,43.7084052,-69.7578991,2298.772191345628
2302779480,44.4662411,-69.0927916,2182.7553398000023
2302703950,44.425874,-69.0264178,2209.9755998000023
2302709270,44.6739989,-69.3864601,2064.7830108730136
2302726280,44.5989532,-68.9283372,2089.402927873735
2302726420,44.494049,-69.3476428,2135.2080878151382
2302735450,44.6160009,-69.1419117,2096.319567839999
2301162190,44.3843883,-69.9501998,2104.701725265804
2302739055,44.3690927,-69.3359996,2186.0243315071298
2302746475,44.5980601,-69.0584889,2103.311225530062
2302746790,44.4326009,-69.2916717,2171.350359774795
2302747245,44.4281885,-69.1698382,2195.602952848452
2302752845,44.3591146,-68.9900466,2247.0312398000015
2302756450,44.3961145,-69.4306296,2143.405863823477
2302920960,44.7761526,-67.4165195,2282.6524677984207
2302761210,44.5649627,-68.8727059,2101.747087833906
2302766635,44.4709063,-68.9286617,2172.886867793731
2302775525,44.5169616,-69.0123354,2148.7784708391227
2302776610,44.5935525,-69.2374727,2105.09479984
2302777625,44.6741485,-69.2518443,2064.408719840002
2302786760,44.6507514,-68.908918,2063.799655913793
2302306365,44.0442235,-69.8637806,2191.7727198400007
2302358070,44.0608975,-69.7997483,2191.727649575916
2302362645,44.1168327,-69.8296069,2164.3873998490626
2302381930,43.872247,-69.8587405,2267.4910798799992
2300761840,44.9693793,-70.724751,1737.408727863684
2302301570,43.8639402,-69.7888919,2276.1763382769977
2300758445,44.8418403,-70.3696525,1934.3679811913335
2300770760,44.6490555,-70.3408184,2060.6569437812977
2302963275,45.0673414,-67.1499529,2149.9133799992514
2302963940,44.624333,-67.537967,2353.628039803909
2302974125,44.4821157,-67.938848,2338.746223876802
2302976895,45.4431206,-67.7719276,2049.9338381403686
2302978675,45.5731592,-67.4706507,2014.1626878800014
2302979375,45.3352168,-67.6049881,2086.5479679200007
2302106400,45.3190981,-69.2387378,1968.416455920001
2302108325,45.3565177,-69.0175243,1976.5477788528608
2302118195,45.1780248,-69.1926964,2001.3764319670875
2302151105,45.9156393,-69.1022311,1841.2468887449418
2302153628,46.0663341,-69.4915858,1723.6693358080183
2302166950,45.2427423,-69.1046395,1994.0917256421992
2302185710,45.3031513,-69.3795593,1969.3655318800006
2301501010,44.0984676,-69.629176,2215.4171997368867
2301506050,43.7966303,-69.5990948,2314.704260008348
2301506120,43.8529649,-69.6373643,2309.1767798969336
2302981685,44.9146847,-67.637106,2208.2135078799993
2302985185,44.7603219,-67.2550471,2232.9131575530537
2302945600,44.4595686,-67.8635255,2343.703535920001
2301944340,45.3158949,-68.7395643,2008.1227318056817
2301945670,44.9933779,-68.5759447,2074.5026800851742
2301955225,44.9541709,-68.7396886,2035.7388920856822
2301957150,45.9914146,-68.4926767,1866.9695398449157
2301957936,44.9513826,-68.6963736,2039.3101644778676
2301506855,43.9800698,-69.4303812,2321.491759855651
2301507485,43.8920868,-69.473191,2328.1666639279574
2301516235,44.022351,-69.4907559,2294.672223816027
2301518475,44.0861731,-69.7369877,2193.7598637775536
2301522675,43.9759894,-69.6109523,2281.5860751582177
2301535695,44.1715983,-69.5145909,2209.8113280679963
2300348575,47.1622867,-68.4861636,1695.8652279951048
2302735240,44.2988885,-68.915242,2270.8625598737776
2302704125,44.3886644,-69.119442,2225.4683197668573
2301901500,45.0732898,-68.6942457,2077.970584011083
2301906925,44.7844612,-68.7345586,2017.3646559599997
2300328590,47.2510153,-68.1429619,1631.1344918800005
2300341715,46.1622767,-67.9684131,1872.5998695904905
2300343990,46.5190396,-68.375609,1704.0000000000002
2300345180,46.1706775,-68.2670447,1824.5107358442183
2300348120,46.6977998,-68.4958057,1705
2300353602,46.8586885,-69.175824,1693.1613957395912
2300362400,45.6921383,-68.0891118,1958.8868079199997
2300365025,47.1343539,-68.8650726,1703.3775319600006
2300369930,45.823219,-68.1935394,1918.14115988
2300382770,46.533465,-67.9660756,1743.0235278432851
2301909200,45.2615746,-68.3937049,2062.250458897628
2301910810,45.4023002,-68.0254718,2051.447951920001
2301912105,45.0776517,-69.0314323,2019
2300348960,46.1172394,-67.975572,1876.862631923311
2301764185,44.6642258,-70.6023281,1918.2747556973125
2302902480,45.182325,-67.4416805,2136.241999920001
